file	energy	cluster	hb_id	H-bond
s204-phen1-s207-phen2_snap_16_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65920289	7	13	N12-H13_O66,N12-H13_O128,O20-H22_O128,O20-H22_O130,N23-H24_O9,N23-H24_O66,N58-H59_O9,O66-H68_O20,N69-H70_O51,O108-H109_O32,N116-H117_N159,O128-H129_O67,N139-H158_O98
s204-phen1-s207-phen2_snap_93_ckpt_optimized_out_ckpt_optimized_out.com	-3835.67034569	7	17	N12-H13_O9,O20-H22_O128,N23-H24_O20,N89-H90_O51,O108-H109_O21,N116-H117_N159,O128-H129_O32,O128-H129_O67,O130-H131_O20,O137-H138_O78,N139-H158_O98
s204-phen1-s207-phen2_snap_145_ckpt_optimized_out_ckpt_optimized_out.com	-3835.67919502	7	27	O9-H11_O108,N12-H13_O9,O20-H22_O128,N23-H24_O20,O66-H68_O128,N89-H90_O51,O108-H109_O21,N116-H117_N159,O128-H129_O67,O130-H131_O20,O137-H138_O111,N139-H158_O78
s204-phen1-s207-phen2_snap_175_ckpt_optimized_out_ckpt_optimized_out.com	-3835.67789751	7	28	O9-H11_O108,N12-H13_O9,O20-H22_O128,N23-H24_O20,O66-H68_O128,N89-H90_O51,O108-H109_O21,O128-H129_O67,O130-H131_O20,O137-H138_O111,N139-H158_O78
s203-phen-flat_snap_47_ckpt_optimized_out_ckpt_optimized_out.com	-3835.636396	8	9	N12-H13_O128,O20-H22_O51,N42-H43_O20,N69-H70_O66,N89-H90_O67,O128-H129_O111,O137-H138_O9,N139-H158_O21
s203-phen-flat_snap_55_ckpt_optimized_out_ckpt_optimized_out.com	-3835.62821533	8	31	O9-H11_O21,N12-H13_O137,O20-H22_N159,N42-H43_O20,N58-H59_O32,O66-H68_N89,N89-H90_O67,N116-H118_O78,O128-H129_O111,O137-H138_N160,N139-H158_O21
s203-azi_snap_72_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65604777	8	35	O9-H11_O32,N12-H13_N160,N23-H24_O9,O108-H109_O32,N116-H118_O78,O130-H131_O20,N139-H158_O111
s203-phen1-s207-phen2_snap_15_ckpt_optimized_out_ckpt_optimized_out.com	-3835.62494351	9	14	N12-H13_O9,N12-H13_O130,O20-H22_O10,N23-H24_O20,N58-H59_O32,O66-H68_O21,N69-H70_O51,O108-H109_O32,O128-H129_O21,O130-H131_O66
s207-phen1-s203-phen2_snap_9_ckpt_optimized_out_ckpt_optimized_out.com	-3835.63603918	9	29	O9-H11_O111,N12-H13_O51,O20-H22_O51,N42-H43_O20,O66-H68_O21,N69-H70_O128,N89-H90_O67,O108-H109_O32,O128-H129_O9,O130-H131_O66,N139-H158_N160
s203-phen1-s207-phen2_snap_1_ckpt_optimized_out_ckpt_optimized_out.com	-3835.63915839	9	41	O9-H11_O51,O20-H22_O51,N42-H43_O20,O66-H68_O32,N69-H70_O9,N116-H118_O78,O128-H129_O66
s203-phenol-2_snap_167_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65254766	9	43	O9-H11_O66,N12-H13_O51,O20-H22_O51,N42-H43_O20,O66-H68_O21,N69-H70_O128,N89-H90_O67,O128-H129_O51,O130-H131_O9,N139-H158_N160
s203-phen1-cross_snap_46_ckpt_optimized_out_ckpt_optimized_out.com	-3835.63870473	9	44	O9-H11_O66,N12-H13_O9,O20-H22_O51,N42-H43_O20,N58-H59_O98,O66-H68_O21,N69-H70_O130,N89-H90_O67,O128-H129_O9,O130-H131_O51,N139-H158_N159
s207-phenol-2_snap_31_ckpt_optimized_out_ckpt_optimized_out.com	-3835.59834657	10	16	N12-H13_O9,O20-H22_O10,O66-H68_O51,N116-H118_O78,O128-H129_O32,O130-H131_O32
s207-phenol-2_snap_23_ckpt_optimized_out_ckpt_optimized_out.com	-3835.61598447	10	20	O20-H22_O111,O66-H68_O130,N116-H118_O78,O128-H129_O66,O130-H131_O32,N139-H158_O10
s203-phenol-2_snap_18_ckpt_optimized_out_ckpt_optimized_out.com	-3835.62278826	10	33	O9-H11_O21,O20-H22_O32,N42-H43_O130,O66-H68_O78,O128-H129_O51,O130-H131_O21
f-oh_snap_46_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65986042	11	6	N12-H13_O111,O20-H22_O66,N23-H24_O10,O66-H68_O137,O130-H131_O98,O137-H138_O78,N139-H158_O67
f-oh_snap_4_ckpt_optimized_out_ckpt_optimized_out.com	-3835.62238346	11	19	N12-H13_O9,O20-H22_O51,N23-H24_O51,O66-H68_O20,N69-H70_O66,O130-H131_N160,O137-H138_O98
s207-phenol-2_snap_43_ckpt_optimized_out_ckpt_optimized_out.com	-3835.63015928	12	1	N1-H2_O20,O9-H11_O111,N23-H24_O128,O66-H68_O51,O108-H109_N160,O128-H129_O32,O130-H131_O78,N139-H158_O10
s207-phenol-2_snap_142_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65669075	12	2	N1-H2_O66,N12-H13_O111,O20-H22_O21,N58-H59_O128,O66-H68_O32,O137-H138_O32,N139-H158_O10
s207-phenol-2_snap_61_out_out_optimized_out_ckpt_optimized_out.com	-3835.64956597	12	22	O9-H11_O10,N12-H13_O111,O20-H22_O21,O66-H68_O32,O108-H109_O9,O130-H131_N159,O137-H138_O32,N139-H158_O10
s203-phenol-1_snap_122_ckpt_optimized_out_ckpt_optimized_out.com	-3835.65581566	13	8	N12-H13_O128,O20-H22_O128,N58-H59_O32,O66-H68_O98,N69-H70_O66,N89-H90_O66,O128-H129_O111,O130-H131_O111,N139-H158_N159
s203-phenol-1_snap_162_ckpt_optimized_out_ckpt_optimized_out.com	-3835.64549062	13	10	N12-H13_O128,O20-H22_O51,O66-H68_O98,N89-H90_O66,N116-H117_O137,O128-H129_O111,O130-H131_O111,O137-H138_O98,N139-H158_N159
s203-phen-flat_snap_195_ckpt_optimized_out_ckpt_optimized_out.com	-3835.66652421	13	18	N12-H13_O9,O20-H22_O32,N58-H59_O32,O66-H68_O78,O108-H109_O111,N116-H117_O20,N116-H118_O67,O128-H129_O108,O137-H138_O10,N139-H158_O98
s203-oh_snap_136_ckpt_out_out_optimized_out_ckpt_optimized_out.com	-3835.66523188	13	23	O9-H11_O10,N12-H13_O111,O20-H22_O67,N23-H24_O98,N42-H43_O137,N58-H59_O32,N89-H90_O66,N116-H118_O10,O128-H129_O111,O137-H138_O21,N139-H158_O51
s203-phen-flat_snap_122_out_out_optimized_out_ckpt_optimized_out.com	-3835.65322691	13	32	O9-H11_O21,N12-H13_O137,O20-H22_O137,N42-H43_O67,O66-H68_O78,N116-H117_N160,O128-H129_O111,N139-H158_O21
s203-azi_snap_34_ckpt_optimized_out_ckpt_optimized_out.com	-3835.63023107	13	36	O9-H11_O32,N12-H13_O9,O20-H22_N159,N23-H24_O20,N58-H59_O32,O108-H109_O66,O137-H138_O111,N139-H158_O111
